file,seed,kind,label,cycle,speed_m_s,distance_to_first_turn_m,K,realization,rng_seed,n_safe,hit,solve_ms,best_feasible_cost,delta_j_safe,delta_j_safe_over_lambda,ess_safe,best_stop_clearance_m,best_collision_clearance_m,best_first_raw_control,best_first_conditioned_control
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,8,7012808,0,False,406.9867499929387,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,9,7012809,0,False,419.2649159958819,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,10,7012810,0,False,427.295082990895,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,11,7012811,0,False,387.54191700718366,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,12,7012812,0,False,452.71133400092367,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,13,7012813,0,False,381.61754098837264,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,14,7012814,0,False,359.88320800242946,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,15,7012815,0,False,411.02545900503173,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,16,7012816,0,False,444.3824170011794,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,17,7012817,0,False,438.33570800779853,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,18,7012818,0,False,376.8068750068778,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,640,19,7012819,0,False,372.08487500902265,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,0,7011600,0,False,49.768917000619695,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,1,7011601,0,False,49.562290994799696,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,2,7011602,0,False,49.301582999760285,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,3,7011603,0,False,56.743624998489395,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,4,7011604,0,False,57.54704200080596,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,5,7011605,0,False,51.186875003622845,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,6,7011606,0,False,49.99820901139174,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,7,7011607,0,False,50.02187500940636,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,8,7011608,0,False,50.94216699944809,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,9,7011609,0,False,50.03299999225419,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,10,7011610,0,False,50.22729199845344,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,11,7011611,0,False,51.54829099774361,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,12,7011612,0,False,58.0798339942703,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,13,7011613,0,False,59.94704199838452,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,14,7011614,0,False,63.344124995637685,,,,0.0,,,,
